titulo,anio,categoria,descripcion,imagen_url,tipo,director,actores
Breaking Bad,2008,Crimen,Un profesor se convierte en capo de la droga.,https://m.media-amazon.com/images/M/MV5BMzU5ZGYzNmQtMTdhYy00OGRiLTg0NmQtYjVjNzliZTg1ZGE4XkEyXkFqcGc@._V1_.jpg,S,Vince Gilligan,"Bryan Cranston, Aaron Paul"
Prison Break,2005,Accion,Un ingeniero se encarcela para salvar a su hermano condenado a muerte.,"https://m.media-amazon.com/images/I/81o3j2JvSKL._AC_UF894,1000_QL80_.jpg",S,Paul Scheuring,"Wentworth Miller, Dominic Purcell"
El Señor de los Anillos: las dos torres,2002,Aventura - Ciencia Ficcion,"Los hobbits Frodo y Sam descubren que Gollum les está siguiendo. La criatura les promete guiarlos hasta las puertas de Mordor si después lo dejan libre. Aragorn, el elfo Legolas y Gimli el enano llegan al reino de Rohan y descubren que el rey Théoden está bajo el conjuro de Sarumán.",https://pics.filmaffinity.com/El_seanor_de_los_anillos_Las_dos_torres-660835653-large.jpg,P,Peter Jackson,"Elijah Wood, Ian McKellen, Viggo Mortensen"
El Señor de los Anillos: el retorno del Rey,2003,Aventura - Ciencia Ficcion,"La batalla por la Tierra Media ha empezado. Las fuerzas de Saruman han sido destruidas y por primera vez parece que hay una pequeña esperanza. Sin embargo, el poder de Sauron crece y su interés se centra en Gondor, el último reducto de los hombres, cuyo heredero es Aragorn.",https://pics.filmaffinity.com/El_seanor_de_los_anillos_El_retorno_del_rey-164432989-large.jpg,P,Peter Jackson,"Elijah Wood, Ian McKellen, Viggo Mortensen"
Terminator,1985,Accion - Ciencia Ficcion,"En el año 2029 las máquinas dominan el mundo. Los rebeldes que luchan contra ellas tienen como líder a John Connor, un hombre que nació en los años ochenta.",https://m.media-amazon.com/images/M/MV5BZmE0YzIxM2QtMGNlMi00MjRmLWE3MWMtOWQzMGVjMmU0YTFmXkEyXkFqcGc@._V1_.jpg,P,James Cameron,"Arnold Schwarzenegger, Linda Hamilton, Michael Biehn"
Zodiac,2007,Thriller - Crimen - Policiaca - Documental,"En los años sesenta y setenta, un asesino en serie se burla de la policía y los medios de comunicación enviándoles cartas y mensajes encriptados. Los investigadores de la policía y reporteros del periódico se obsesionan con el hecho de encontrar al elusivo asesino en serie.",https://m.media-amazon.com/images/M/MV5BOTY1ODc0YTYtOWM5Ni00MDc4LWE1MDgtYmM5M2Q0MjcyMzUwXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg,P,David Fincher,"Jake Gyllenhaal, Mark Ruffalo, Robert Downey Jr."
El Silencio de los Corderos,1991,Thriller - Crimen,"Tras una serie de crímenes donde a las víctimas les faltaba parte de la piel, una agente del FBI inicia su carrera particular para dar con el asesino. Para resolver el caso la agente encargada deberá entrevistarse con el doctor Hannibal Lecter.",https://pics.filmaffinity.com/El_silencio_de_los_corderos-767447992-large.jpg,P,Jonathan Demme,"Jodie Foster, Anthony Hopkins"
Red Dragon,2002,Thriller - Crimen,"Un investigador del FBI especializado en analizar la mente y el comportamiento de los asesinos en serie se ve obligado a recurrir a Hannibal Lecter, para que le ayude con un asesino de familias, cuyo patrón de conducta es imposible de desentrañar.",https://es.web.img3.acsta.net/medias/nmedia/18/82/04/81/19592828.jpg,P,Brett Ratner,"Anthony Hopkins, Edward Norton"
Se7en,1996,Thriller - Crimen - Policiaca,El veterano teniente Somerset está a punto de jubilarse y ser reemplazado por el impulsivo detective David Mills. Ambos tendrán que colaborar en la resolución de unos asesinatos cometidos por un psicópata que se basa en los siete pecados capitales.,"https://m.media-amazon.com/images/I/6185ykbgJcL._AC_UF894,1000_QL80_.jpg",P,David Fincher,"Brad Pitt, Morgan Freeman, Kevin Spacey"
Taxi Driver,1977,Crimen - Drama - Thriller,"Para sobrellevar el insomnio crónico que sufre desde su regreso de Vietnam, Travis Bickle trabaja como taxista nocturno en Nueva York.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRXNnUbhgXpzdUWkvl0uX5amzp_KzoQKC_6HQ&s,P,Martin Scorsese,"Robert De Niro, Jodie Foster"
Enemigo a las puertas,2001,Belico,"Dos francotiradores de élite, uno ruso y otro alemán, se enfrentan en un duelo personal durante la batalla de Stalingrado.",https://pics.filmaffinity.com/enemy_at_the_gates-479537758-large.jpg,P,Jean-Jacques Annaud,"Jude Law, Ed Harris, Rachel Weisz"
Apocalypse Now,1979,Belico,"Durante la guerra de Vietnam, al capitán Willard se le encarga la peligrosa misión de eliminar a un coronel renegado en Camboya.","https://m.media-amazon.com/images/I/A1fRVv87JrL._AC_UF894,1000_QL80_.jpg",P,Francis Ford Coppola,"Martin Sheen, Marlon Brando, Robert Duvall"
La chaqueta metálica,1987,Belico,"Un grupo de reclutas de los Marines se prepara bajo un brutal entrenamiento antes de enfrentarse a la crudeza de la guerra de Vietnam.",https://pics.filmaffinity.com/full_metal_jacket-577943737-large.jpg,P,Stanley Kubrick,"Matthew Modine, R. Lee Ermey, Vincent D'Onofrio"
La colina de la hamburguesa,1987,Belico,"Narra el asalto de la 101ª División Aerotransportada a una colina fuertemente fortificada por el ejército norvietnamita.",https://pics.filmaffinity.com/hamburger_hill-303756419-large.jpg,P,John Irvin,"Dylan McDermott, Steven Weber, Don Cheadle"
Platoon,1986,Belico,"Un joven soldado norteamericano se enfrenta a una crisis moral y a los horrores de la guerra en la jungla de Vietnam.","https://m.media-amazon.com/images/I/61juOMdMMIL._AC_UF894,1000_QL80_.jpg",P,Oliver Stone,"Charlie Sheen, Tom Berenger, Willem Dafoe"
Harry Potter y la piedra filosofal,2001,Fantasia,"Un niño huérfano descubre en su 11º cumpleaños que es un mago y es invitado a estudiar en el colegio Hogwarts.",https://m.media-amazon.com/images/M/MV5BYTkyYjVkNDItODc1Ny00NzA1LTkwY2YtZDUwNTlhMDk3MTZiXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg,P,Chris Columbus,"Daniel Radcliffe, Rupert Grint, Emma Watson"
Harry Potter y la cámara secreta,2002,Fantasia,"Harry ignora las advertencias de no regresar a Hogwarts, donde una fuerza oscura está atacando a los estudiantes.","https://m.media-amazon.com/images/I/51UizOJ+NFL._AC_UF894,1000_QL80_.jpg",P,Chris Columbus,"Daniel Radcliffe, Rupert Grint, Emma Watson"
Pet Sematary,1989,Terror,"El doctor Louis Creed se muda con su familia a una casa cerca de un cementerio de animales maldito, capaz de resucitar a los muertos con consecuencias terroríficas.","https://m.media-amazon.com/images/I/918MsSZJgJL._AC_UF894,1000_QL80_.jpg",P,Mary Lambert,"Dale Midkiff, Fred Gwynne, Denise Crosby, Brad Greenquist, Michael Lombard, Miko Hughes"
It,2017,Terror,"En el pueblo de Derry, varios niños desaparecen misteriosamente. Un grupo de chicos marginados deberá enfrentarse a sus mayores miedos y a un payaso asesino llamado Pennywise.",https://pics.filmaffinity.com/It-312381423-large.jpg,P,Andy Muschietti,"Bill Skarsgård, Jaeden Martell, Finn Wolfhard, Sophia Lillis, Jeremy Ray Taylor, Jack Dylan Grazer, Wyatt Oleff"
La ventana secreta,2004,Thriller,"Un escritor en proceso de divorcio se retira a una cabaña aislada, donde es acosado por un extraño que lo acusa de haber plagiado una de sus historias.",https://pics.filmaffinity.com/secret_window-245737047-large.jpg,P,David Koepp,"Johnny Depp, John Turturro, Maria Bello, Timothy Hutton, Charles S. Dutton, Len Cariou"
The Mist,2007,Terror,"Tras una violenta tormenta, una espesa niebla cubre un pequeño pueblo, atrapando a la gente en un supermercado mientras criaturas sedientas de sangre acechan fuera.",https://m.media-amazon.com/images/M/MV5BMTU2NjQyNDY1Ml5BMl5BanBnXkFtZTcwMTk1MDU1MQ@@._V1_FMjpg_UX1000_.jpg,P,Frank Darabont,"Thomas Jane, Marcia Gay Harden, Laurie Holden, Andre Braugher, Toby Jones, William Sadler, Jeffrey DeMunn"
El resplandor,1980,Terror,"Jack Torrance se traslada con su mujer y su hijo al impresionante hotel Overlook para encargarse del mantenimiento en invierno, pero el aislamiento le provoca trastornos de personalidad.",https://es.web.img3.acsta.net/pictures/14/04/15/10/46/568345.jpg,P,Stanley Kubrick,"Jack Nicholson, Shelley Duvall, Danny Lloyd, Scatman Crothers, Barry Nelson, Philip Stone"
2001: A Space Odyssey,1968,Ciencia Ficcion,"La humanidad encuentra un misterioso monolito enterrado en la Luna y envía una expedición a Júpiter controlada por la computadora HAL 9000 para investigar su origen.",https://es.web.img3.acsta.net/pictures/210/073/21007309_20130521161735454.jpg,P,Stanley Kubrick,"Keir Dullea, Gary Lockwood, William Sylvester, Daniel Richter, Leonard Rossiter, Margaret Tyzack"
Parque Jurásico,1993,Aventura,"Un multimillonario hace realidad su sueño de clonar dinosaurios y crear un parque temático, pero las medidas de seguridad fallan durante una visita de inspección.",https://pics.filmaffinity.com/Parque_Juraasico_Jurassic_Park-214895994-large.jpg,P,Steven Spielberg,"Sam Neill, Laura Dern, Jeff Goldblum, Richard Attenborough, Bob Peck, Martin Ferrero, Samuel L. Jackson, Wayne Knight"
Tiburón,1975,Thriller,"Un enorme tiburón blanco devorador de hombres aterroriza a los habitantes de Amity Island. Un jefe de policía, un biólogo y un cazatiburones intentan darle caza.",https://upload.wikimedia.org/wikipedia/commons/4/40/Jaws_movie_poster.jpg,P,Steven Spielberg,"Roy Scheider, Robert Shaw, Richard Dreyfuss, Lorraine Gary, Murray Hamilton, Carl Gottlieb"
Indiana Jones y la última cruzada,1989,Aventura,"Indiana Jones debe rescatar a su padre, un arqueólogo que ha desaparecido mientras buscaba el Santo Grial, antes de que los nazis se apoderen de la reliquia.",https://pics.filmaffinity.com/Indiana_Jones_y_la_aultima_cruzada-834556032-large.jpg,P,Steven Spielberg,"Harrison Ford, Sean Connery, Denholm Elliott, Alison Doody, John Rhys-Davies, River Phoenix, Julian Glover"
La guerra de los mundos,2005,Ciencia Ficcion,"La Tierra es invadida por máquinas de guerra alienígenas. Un estibador divorciado lucha por sobrevivir y proteger a sus dos hijos en medio de la devastación.",https://pics.filmaffinity.com/La_guerra_de_los_mundos-956978195-large.jpg,P,Steven Spielberg,"Tom Cruise, Dakota Fanning, Miranda Otto, Justin Chatwin, Tim Robbins, Rick Gonzalez"
Gangs of New York,2002,Crimen,"Nueva York, 1863. Amsterdam Vallon regresa al barrio de Five Points para vengarse de 'Bill el Carnicero', el hombre que asesinó a su padre años atrás.",https://m.media-amazon.com/images/M/MV5BMTQ0MDA0MTUtYzkzMi00NDY3LThhZDEtNGM4MWUwYzMyZDk5XkEyXkFqcGc@._V1_.jpg,P,Martin Scorsese,"Leonardo DiCaprio, Daniel Day-Lewis, Cameron Diaz, Jim Broadbent, John C. Reilly, Henry Thomas, Liam Neeson, Brendan Gleeson"
Mean Streets,1973,Crimen,"Charlie, un joven italoamericano que trata de ascender en la mafia local de Nueva York, se ve obstaculizado por su sentimiento de responsabilidad hacia su imprudente amigo Johnny Boy.",https://upload.wikimedia.org/wikipedia/en/2/26/Mean_Streets_original_1973_theatrical_poster.png,P,Martin Scorsese,"Robert De Niro, Harvey Keitel, David Proval, Amy Robinson, Richard Romanus, Cesare Danova"
Star Wars: Episodio I - La amenaza fantasma,1999,Ciencia Ficcion,"Dos caballeros Jedi rescatan a la reina Amidala de una invasión y descubren a un joven esclavo con una conexión inusualmente fuerte con la Fuerza.",https://static.wikia.nocookie.net/esstarwars/images/7/75/EPI_TPM_poster.png/revision/latest?cb=20240316183455,P,George Lucas,"Liam Neeson, Ewan McGregor, Natalie Portman, Jake Lloyd, Ian McDiarmid, Pernilla August, Ahmed Best, Anthony Daniels"
Star Wars: Episodio II - El ataque de los clones,2002,Ciencia Ficcion,"Diez años después, Anakin Skywalker comparte un romance prohibido con Padmé, mientras Obi-Wan investiga un intento de asesinato que lleva al descubrimiento de un ejército secreto de clones.",https://static.wikia.nocookie.net/esstarwars/images/d/dd/Attack-Clones-Poster.jpg/revision/latest?cb=20240331173853,P,George Lucas,"Ewan McGregor, Natalie Portman, Hayden Christensen, Christopher Lee, Samuel L. Jackson, Frank Oz, Ian McDiarmid"
Star Wars: Episodio III - La venganza de los Sith,2005,Ciencia Ficcion,"Las Guerras Clon terminan y los Sith revelan su plan milenario. Anakin Skywalker es seducido por el lado oscuro de la Fuerza, convirtiéndose en Darth Vader.",https://static.wikia.nocookie.net/esstarwars/images/f/fa/Ep3_poster.jpg/revision/latest?cb=20060407220934,P,George Lucas,"Ewan McGregor, Natalie Portman, Hayden Christensen, Ian McDiarmid, Samuel L. Jackson, Jimmy Smits, Frank Oz"
Star Wars: Episodio IV - Una nueva esperanza,1977,Ciencia Ficcion,"Luke Skywalker une fuerzas con un caballero Jedi, un piloto arrogante, un wookiee y dos droides para salvar a la galaxia de la estación de combate destructora de planetas del Imperio.","https://m.media-amazon.com/images/I/71C+KwExtCL._AC_UF894,1000_QL80_.jpg",P,George Lucas,"Mark Hamill, Harrison Ford, Carrie Fisher, Alec Guinness, Peter Cushing, Anthony Daniels, Kenny Baker, Peter Mayhew, David Prowse"
Star Wars: Episodio V - El imperio contraataca,1980,Ciencia Ficcion,"Mientras el Imperio persigue a los rebeldes, Luke Skywalker comienza su entrenamiento Jedi con Yoda. Darth Vader intenta atraer a Luke al lado oscuro.",https://www.commonsensemedia.org/sites/default/files/styles/ratio_2_3_medium/public/product-images/csm-movie/empire-strikes-back-poster-big.jpg,P,Irvin Kershner,"Mark Hamill, Harrison Ford, Carrie Fisher, Billy Dee Williams, Anthony Daniels, David Prowse, Peter Mayhew, Frank Oz"
Star Wars: Episodio VI - El retorno del Jedi,1983,Ciencia Ficcion,"Tras rescatar a Han Solo, los rebeldes lanzan un ataque contra la segunda Estrella de la Muerte. Luke se enfrenta a Vader por última vez ante el Emperador.",https://static.wikia.nocookie.net/esstarwars/images/b/b2/ReturnOfTheJediPoster1983.jpg/revision/latest?cb=20200623214315,P,Richard Marquand,"Mark Hamill, Harrison Ford, Carrie Fisher, Billy Dee Williams, Anthony Daniels, Peter Mayhew, Ian McDiarmid, Sebastian Shaw"
Piratas del Caribe: La maldición de la Perla Negra,2003,Aventura - Fantasia,"El herrero Will Turner se une al excéntrico capitán pirata Jack Sparrow para salvar a su amada, la hija del gobernador, de los antiguos aliados piratas de Jack, que ahora son no-muertos.",https://m.media-amazon.com/images/M/MV5BOWQzNjMzZmUtYmM5OS00NmFmLWE0NzktZGI0YmIwOWZiMTM3XkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg,P,Gore Verbinski,"Johnny Depp, Geoffrey Rush, Orlando Bloom, Keira Knightley, Jack Davenport, Jonathan Pryce, Lee Arenberg, Mackenzie Crook"
Piratas del Caribe: El cofre del hombre muerto,2006,Aventura - Fantasia,"Jack Sparrow descubre que tiene una deuda de sangre con el legendario Davy Jones, capitán del barco fantasma El Holandés Errante. Debe encontrar la forma de saldarla o su alma será condenada.",https://static.wikia.nocookie.net/piratasdelcaribe-es-la/images/b/be/Piratas_del_Caribe_el_cofre_del_hombre_muerto.jpg/revision/latest?cb=20170525112416&path-prefix=es,P,Gore Verbinski,"Johnny Depp, Orlando Bloom, Keira Knightley, Bill Nighy, Stellan Skarsgård, Jack Davenport, Kevin McNally, Naomie Harris"
Piratas del Caribe: En el fin del mundo,2007,Aventura - Fantasia,"Will Turner y Elizabeth Swann se alían con el capitán Barbossa para liberar a Jack Sparrow de la bodega de Davy Jones. Mientras, el barco fantasma arrasa los mares bajo el control de la Compañía de las Indias.",https://pics.filmaffinity.com/pirates_of_the_caribbean_at_world_s_end_aka_pirates_of_the_caribbean_3-210557633-large.jpg,P,Gore Verbinski,"Johnny Depp, Orlando Bloom, Keira Knightley, Geoffrey Rush, Chow Yun-Fat, Bill Nighy, Stellan Skarsgård, Tom Hollander"
Piratas del Caribe: En mareas misteriosas,2011,Aventura - Fantasia,"Jack Sparrow se cruza con una mujer de su pasado, Angélica, y no está seguro de si es amor o si ella es una estafadora que lo está utilizando para encontrar la legendaria Fuente de la Juventud.",https://static.wikia.nocookie.net/piratasdelcaribe-es-la/images/b/b2/Dibujo11.JPG/revision/latest?cb=20110626211840&path-prefix=es,P,Rob Marshall,"Johnny Depp, Penélope Cruz, Ian McShane, Geoffrey Rush, Kevin McNally, Sam Claflin, Astrid Bergès-Frisbey, Stephen Graham"
Menace II Society,1993,Crimen - Drama,"Un joven camello intenta escapar de la violenta vida del gueto de Watts, en Los Ángeles, mientras sus amigos se hunden más en el crimen.",https://play-lh.googleusercontent.com/Rv_ktLaCYhQHVVMjrVwKm6nB6tSRVDW-AzYE5S2aFoP9nDWThngeJ0ESV8FziHiU1QQw,P,The Hughes Brothers,"Tyrin Turner, Larenz Tate, Samuel L. Jackson, Jada Pinkett Smith"
